model,feature_removed,original_log_r2,loo_log_r2,delta_log_r2,original_spearman,loo_spearman,delta_spearman
EdgeGAT_full_blend_tk_tk,pair_score_max,0.338,0.15315870464692494,-0.18484129535307509,0.588,0.5364973717648746,-0.051502628235125414
EdgeGAT_full_blend_tk_tk,pair_gold_mean,0.338,0.19088253921017972,-0.1471174607898203,0.588,0.5132453522201026,-0.07475464777989738
EdgeGAT_full_blend_tk_tk,dist,0.338,0.2093329399026258,-0.12866706009737422,0.588,0.5377815990748541,-0.050218400925145845
EdgeGAT_full_blend_tk_ka,refYear,0.321,0.22255646002123786,-0.09844353997876215,0.587,0.5434886865530965,-0.04351131344690351
EdgeGAT_full_blend_tk_ka,cmdCode,0.321,0.291181782690918,-0.029818217309082018,0.587,0.5729713945974564,-0.014028605402543581
EdgeGAT_full_blend_tk_ka,gdpcap_d,0.321,0.2571792566261816,-0.06382074337381843,0.587,0.5436071942933476,-0.04339280570665238
EdgeGAT_full_blend_tk_ka,gdpcap_o,0.321,0.047181226131782106,-0.2738187738682179,0.587,0.4205045936031803,-0.16649540639681965
EdgeGAT_full_blend_tk_ka,pop_o,0.321,0.19424762589101996,-0.12675237410898005,0.587,0.4779994226361713,-0.10900057736382868
EdgeGAT_full_blend_tk_ka,pop_d,0.321,0.20967703480810518,-0.11132296519189483,0.587,0.5454942066299623,-0.04150579337003768
EdgeGAT_full_blend_tk_ka,events_total,0.321,0.12472670042814926,-0.19627329957185075,0.587,0.474269855989719,-0.11273014401028097
EdgeGAT_full_blend_tk_ka,score_mean,0.321,0.20521610628223252,-0.11578389371776748,0.587,0.5422734941276869,-0.04472650587231308
EdgeGAT_full_blend_tk_ka,score_max,0.321,0.16793814614292224,-0.15306185385707777,0.587,0.5265431428176949,-0.06045685718230509
EdgeGAT_full_blend_tk_ka,score_vol,0.321,0.29152866666406707,-0.029471333335932937,0.587,0.5724977931621851,-0.01450220683781489
EdgeGAT_full_blend_tk_ka,goldstein_wmean,0.321,0.13737689866483993,-0.18362310133516008,0.587,0.5212667924905364,-0.06573320750946354
EdgeGAT_full_blend_tk_ka,tone_mean,0.321,0.11857907732757511,-0.2024209226724249,0.587,0.5240398204066716,-0.06296017959332834
EdgeGAT_full_blend_tk_ka,active_months,0.321,0.2491195208308562,-0.07188047916914381,0.587,0.5565367248041592,-0.0304632751958408
EdgeGAT_full_blend_tk_ka,pair_events,0.321,0.2773517757243914,-0.043648224275608605,0.587,0.5463088913552927,-0.04069110864470726
EdgeGAT_full_blend_tk_ka,pair_score_mean,0.321,0.27667828795354865,-0.044321712046451356,0.587,0.558761640867128,-0.028238359132871982
EdgeGAT_full_blend_tk_ka,pair_score_max,0.321,0.2280780902175077,-0.09292190978249232,0.587,0.5325715470391854,-0.054428452960814555
EdgeGAT_full_blend_tk_ka,pair_gold_mean,0.321,0.27827567752227333,-0.04272432247772667,0.587,0.5569339832320179,-0.03006601676798204
EdgeGAT_full_blend_tk_ka,dist,0.321,0.29879432060750943,-0.022205679392490574,0.587,0.570724243425594,-0.016275756574405942
