chapter,scope,mae,rmse,r2,log_r2,spearman,smape,n,model
8423,per_chapter,116309.39282802641,388529.89746814757,0.41016247070916556,0.3817509581241405,0.634424743621422,101.05072197813803,241,GAT_first_none_perproduct
8424,per_chapter,375928.41034180345,985519.4130692245,0.20050120851317255,0.4705872018067857,0.7411769156710127,104.96031585122975,286,GAT_first_none_perproduct
8425,per_chapter,190360.82287548398,520009.52971789404,0.44357055083059804,0.4993309865138731,0.7164207836579993,94.70217544127239,239,GAT_first_none_perproduct
8426,per_chapter,1185273.0706164243,3334926.195635016,-0.012279532845240526,0.21717079198766764,0.4873783566461259,107.05440003110512,235,GAT_first_none_perproduct
8427,per_chapter,1324939.5425518902,3023529.847935012,0.3415328507484924,0.45095002764403436,0.6592955762605285,98.2166556407638,110,GAT_first_none_perproduct
8428,per_chapter,804547.5976509897,1960453.7671322133,0.16930507158907926,0.2774510345963994,0.5959717170247657,113.47230141522688,252,GAT_first_none_perproduct
8429,per_chapter,1960206.317554081,8601815.785403786,0.05083123242081333,0.20938793274194145,0.4503433048908721,95.92541104334431,240,GAT_first_none_perproduct
8430,per_chapter,814957.2953386372,3239669.10907508,-0.010277681162556673,0.23232024769389603,0.5727459658143325,100.97453426926417,239,GAT_first_none_perproduct
8431,per_chapter,1227504.4785726971,3599117.703745231,0.26157192326804046,0.30652069096634416,0.6457004158617309,113.10749497385855,291,GAT_first_none_perproduct
8432,per_chapter,315179.1333388567,606131.2041475972,0.0037428871424523003,0.17154619579065855,0.5296141428674748,110.4234611199405,237,GAT_first_none_perproduct
8433,per_chapter,712407.2905286594,1705099.8283737008,0.0793963378933199,0.4187466760454983,0.6665999580956258,111.45013770907875,296,GAT_first_none_perproduct
8434,per_chapter,419490.77992726717,792846.8499049084,-0.054204234538591356,0.09822503816914008,0.30959110251824923,112.91148245696338,78,GAT_first_none_perproduct
8435,per_chapter,58568.799823632886,130349.05365723875,-0.016917663625596546,0.2432026365965555,0.5959595959595959,106.32696542888593,54,GAT_first_none_perproduct
8436,per_chapter,299290.9111518691,596636.5425874774,0.06811328002081962,0.3323421257409772,0.6026935932855024,114.38457087588596,175,GAT_first_none_perproduct
8437,per_chapter,158296.58136190314,373881.16368793324,0.08345123802943333,0.29412569223531304,0.618875478150127,92.26866977377412,95,GAT_first_none_perproduct
8438,per_chapter,420128.3544422586,910293.287712184,0.035992387699259165,0.31636831026696344,0.587613046804015,105.05852980451687,255,GAT_first_none_perproduct
8439,per_chapter,359200.93142612104,816230.8855214047,-0.04854647729751771,0.28796017250275074,0.6377450076804914,115.63359276796214,125,GAT_first_none_perproduct
8440,per_chapter,86700.1382261566,139676.18204960274,0.28850048143459806,0.1795031300338732,0.6513708513708514,96.52771658482078,55,GAT_first_none_perproduct
8441,per_chapter,581785.4216540958,1496242.0264450777,-0.3069885901221985,0.23270493787131863,0.6545473508622681,116.23539099060778,173,GAT_first_none_perproduct
8442,per_chapter,88424.75612807044,172083.87695433476,0.11721769622286315,0.32338386016852716,0.5939332448699803,93.90271314508287,93,GAT_first_none_perproduct
8443,per_chapter,1524430.9211775486,6614225.174648404,0.03251172948173686,0.34744383182897465,0.6105248261589367,118.12370880188861,379,GAT_first_none_perproduct
8445,per_chapter,716669.2370672311,3878254.571580876,-0.006487064444304691,0.3198363069028306,0.6509544806141535,108.23009635375334,137,GAT_first_none_perproduct
