model,feature_removed,mse,rmse,mae,smape,r2,log_mse,log_rmse,log_mae,log_r2,spearman
EdgeGAT_full_attention_ka_tk,gdpcap_d,829744238513224.9,28805281.434369374,1780615.5777781797,120.77989585692642,0.015786416713219786,6.398957402626236,2.529616058342893,1.9545528815960003,0.2786699881948952,0.5421248358462135
EdgeGAT_full_attention_ka_tk,gdpcap_o,842748377707695.0,29030128.792475156,1748213.5712358255,131.9423240066587,0.0003613618106595995,8.127927213661225,2.8509519837523087,2.2723909605758035,0.08376982935141142,0.2854296534391476
EdgeGAT_full_attention_ka_tk,pop_o,2.1751278559752278e+17,466382660.05236816,4425941.654736067,122.26490450455965,-257.00605558554287,6.9942470611997,2.6446638843527355,2.028153147157203,0.21156526012309695,0.516866508414796
EdgeGAT_full_attention_ka_tk,pop_d,842377533780182.9,29023740.8646815,1748467.0767855612,132.1656195670348,0.0008012439017854867,8.192689129329278,2.86228739460755,2.2816350998994204,0.0764694661118962,0.2738211918988677
EdgeGAT_full_attention_ka_tk,events_total,3.137597249441907e+19,5601425934.0295725,17784402.69433627,119.8825283921513,-37216.0807394494,6.421686635863334,2.5341047010459796,1.9442531474680513,0.2761078086009964,0.5743995796352636
EdgeGAT_full_attention_ka_tk,score_mean,842144320572771.2,29019722.958236028,1747953.4101365465,131.73708882229946,0.0010778732483750497,8.106914706936795,2.8472644251872348,2.267433111484278,0.08613848892669917,0.28701164455819783
EdgeGAT_full_attention_ka_tk,score_max,841784703486098.0,29013526.21599274,1750830.5321809105,131.9925885533172,0.0015044384537208355,8.322605239267851,2.884892587128306,2.2898684196568877,0.061824519565259695,0.2578754591532397
EdgeGAT_full_attention_ka_tk,score_vol,2.9899612056790714e+27,54680537723024.19,155423871776.2842,132.0015653662387,-3546587364561.89,8.296935640575013,2.8804401817387237,2.286870249443014,0.06471815531919323,0.2621658825620976
EdgeGAT_full_attention_ka_tk,tone_mean,1.2135156826607196e+16,110159687.84726651,3083661.4445853014,121.86674812926421,-13.394298423166138,6.966460583519736,2.6394053465733025,2.0208867553335668,0.21469752355474359,0.5254151871907939
EdgeGAT_full_attention_ka_tk,active_months,841923043864545.8,29015910.185009632,1839522.9523795934,122.86817757437257,0.0013403439372837722,7.152631298854967,2.674440371153368,2.0534772471373213,0.19371121034137362,0.5415381902957012
EdgeGAT_full_attention_ka_tk,pair_events,839560184460397.1,28975164.960020453,1754065.4610392002,131.94643450781552,0.004143085086926401,8.37036179499004,2.8931577549435565,2.292436585223511,0.05644110555960946,0.2543529308238527
EdgeGAT_full_attention_ka_tk,pair_score_mean,842059442389939.1,29018260.49903645,1747946.3064161916,131.64186688063134,0.0011785527789950345,8.200278604361419,2.86361285867371,2.273592053469739,0.07561393359775836,0.2711695670076852
EdgeGAT_full_attention_ka_tk,pair_score_max,1.0811122779379347e+40,1.0397654917999224e+20,2.955394246908458e+17,123.04391679084519,-1.282377556379584e+25,7.241836866815025,2.691066120855269,2.062388673139179,0.18365540760024246,0.5469611906489806
EdgeGAT_full_attention_ka_tk,pair_gold_mean,842948931172839.1,29033582.816676952,1870385.5797347736,124.02231771677266,0.0001234723075956845,7.30214238616576,2.7022476544842737,2.082466172755607,0.17685739688566493,0.5219718894445053
EdgeGAT_full_attention_ka_tk,dist,843330678090590.6,29040156.302792013,1750875.6808881434,131.81621898299113,-0.0003293425290606944,8.108342354444654,2.8475151192653314,2.2685560486592897,0.08597755567946819,0.28780547720283256
EdgeGAT_full_blend_tk_tk,refYear,828292153091666.2,28780065.203047514,1713575.4665578522,118.67013614636133,0.017508829632352008,6.095732067305769,2.4689536381442583,1.8977438915678608,0.31285142134782584,0.5727740464423947
EdgeGAT_full_blend_tk_tk,cmdCode,5486566805918602.0,74071362.92737296,2414862.6307364497,129.35341169112579,-5.507973572279749,8.354267578142066,2.8903749891912063,2.2515872651549707,0.05825534511434982,0.5069662235099236
EdgeGAT_full_blend_tk_tk,gdpcap_d,900552857130781.2,30009212.87089652,2007851.1779992231,122.96100172429938,-0.06820428912409637,6.95877088849728,2.6379482346128933,2.035246187713188,0.21556435348535852,0.5203095909571761
EdgeGAT_full_blend_tk_tk,gdpcap_o,833611994255220.5,28872339.604805507,1737743.1418825116,123.85585161276815,0.011198620183377694,6.868409459918951,2.620765052407207,2.038766373425734,0.2257504519764003,0.4793969649499861
EdgeGAT_full_blend_tk_tk,pop_o,2758570854798170.0,52522098.7280418,2248830.0417135623,123.21687189362329,-2.272120226608973,6.932028742300632,2.6328746157575815,2.0368651294463604,0.21857889342022419,0.49694866941519844
EdgeGAT_full_blend_tk_tk,pop_d,6.067911017231234e+20,24633130164.945004,71862307.9219491,121.77962598987968,-719753.3734724345,6.615099950813934,2.5719836606817577,1.988256999708447,0.25430506481349724,0.5443372681782676
EdgeGAT_full_blend_tk_tk,events_total,837104117076916.9,28932751.63334654,1895671.4339259297,123.46309382023833,0.007056386280340221,7.116049727263483,2.667592496477579,2.0575096669578747,0.1978349110956722,0.5145498175398637
EdgeGAT_full_blend_tk_tk,score_mean,836248319080723.0,28917958.418268792,1728778.4632298287,120.17375538990065,0.008071503919376832,6.446458581885909,2.5389877081005943,1.9503576268323075,0.27331536180184024,0.5446822372807703
EdgeGAT_full_blend_tk_tk,score_max,833980533537879.6,28878721.12019297,1755788.492829592,120.32059377797731,0.010761471781337684,6.204830839169037,2.4909497865611496,1.931158464469936,0.3005531337605768,0.5580187423275196
EdgeGAT_full_blend_tk_tk,score_vol,827562196408341.4,28767380.770733044,1838486.1582824516,120.55372872272387,0.018374678709203285,6.5320087999491205,2.555779489695682,1.9639327919389098,0.2636716126841888,0.5591342847988205
EdgeGAT_full_blend_tk_tk,goldstein_wmean,1291875092947075.8,35942663.96564222,2240122.9356988114,123.4904359310003,-0.5323770330321107,7.101030671029345,2.6647759138489198,2.0569464082874864,0.19952795190357409,0.5228367383611544
EdgeGAT_full_blend_tk_tk,tone_mean,1.2247664178721588e+16,110669165.4379014,2032827.1772501816,121.30007382431087,-13.52775070765446,6.455628596844546,2.540792907114735,1.967191605792542,0.27228166106245866,0.5282290755243717
EdgeGAT_full_blend_tk_tk,active_months,841869809598671.0,29014992.841609854,2109211.7395790075,126.26207495991207,0.0014034885608174008,7.833209613589673,2.798787168326608,2.162087504598023,0.11699221802546889,0.5407827328850376
EdgeGAT_full_blend_tk_tk,pair_events,827342641142561.6,28763564.47213317,1750552.513002576,122.39717144598745,0.018635107483315427,6.680632009315747,2.58469185964512,2.0026739461354666,0.24691788631574296,0.5151716072737108
EdgeGAT_full_blend_tk_tk,pair_score_mean,829409022113151.2,28799462.184442807,1710583.7686396376,118.7368373289743,0.016184038677891865,5.910540390340038,2.431160297129755,1.8815516643618948,0.33372737130759156,0.5846555908789779
EdgeGAT_full_blend_tk_tk,pair_score_max,840521050817513.8,28991741.07944388,2049122.8742247203,124.73333466329501,0.003003339034465702,7.512374761987965,2.740871168440422,2.111765055863563,0.15315870464692494,0.5364973717648746
EdgeGAT_full_blend_tk_tk,pair_gold_mean,841262130929225.4,29004519.146664463,1947351.0957827026,123.43943400714504,0.0021242957360666503,7.177724592878949,2.6791275805528465,2.0626028833399435,0.19088253921017972,0.5132453522201026
EdgeGAT_full_blend_tk_tk,dist,5916475958089406.0,76918632.06070039,2091629.0149789602,122.87085904710263,-6.017916766225849,7.01405009416109,2.6484051982582066,2.039170602058765,0.2093329399026258,0.5377815990748541
EdgeGAT_full_blend_tk_ka,refYear,5.63582432204287e+24,2373989115822.326,9228715496.464348,120.91106695301823,-6685017614.442223,6.896743534657182,2.6261651765753773,1.9983855856120882,0.22255646002123786,0.5434886865530965
EdgeGAT_full_blend_tk_ka,cmdCode,832215118616129.6,28848138.910788156,1795982.9457293788,119.79262475067974,0.012855545190316064,6.287964599470701,2.5075814242952714,1.9298908695855297,0.291181782690918,0.5729713945974564
EdgeGAT_full_blend_tk_ka,gdpcap_d,2.3669351031895844e+16,153848467.75933728,2235541.049744063,121.05206765242278,-27.075756012379422,6.5896028403716285,2.567022173720287,1.9759899120207185,0.2571792566261816,0.5436071942933476
EdgeGAT_full_blend_tk_ka,gdpcap_o,1686941447259465.0,41072392.762772724,2879470.8254514714,129.13886185737644,-1.0009909192949005,8.452506684350517,2.907319501594298,2.2559579448391966,0.047181226131782106,0.4205045936031803
EdgeGAT_full_blend_tk_ka,pop_o,1.2689723496350022e+19,3562263816.219964,11939027.451529434,123.7987741033398,-15051.1060027367,7.14787272761002,2.6735505844494547,2.0668899845883115,0.19424762589101996,0.4779994226361713
EdgeGAT_full_blend_tk_ka,pop_d,1171275352783427.0,34223900.31518072,2150235.2121845796,123.73624384690866,-0.3893258409893625,7.010997609713488,2.6478288482667245,2.0510787564227217,0.20967703480810518,0.5454942066299623
EdgeGAT_full_blend_tk_ka,events_total,1.1083408462567591e+24,1052777681306.3427,2999420810.449835,125.96183981074735,-1314675130.4020493,7.764596603433253,2.7865025755296284,2.1497516470240514,0.12472670042814926,0.474269855989719
EdgeGAT_full_blend_tk_ka,score_mean,909795743594140.8,30162820.55103834,1933889.2107072617,123.03313791988903,-0.07916787764182609,7.050570747037673,2.655291085180243,2.045046573937864,0.20521610628223252,0.5422734941276869
EdgeGAT_full_blend_tk_ka,score_max,857707399851023.5,29286642.003668215,1995473.3518654683,124.33172528235134,-0.017382506845220247,7.381265540106531,2.7168484573318645,2.093597534758038,0.16793814614292224,0.5265431428176949
EdgeGAT_full_blend_tk_ka,score_vol,821830312407727.1,28667582.95370796,1774150.5901551784,119.92819094435615,0.025173638954274935,6.284887373053517,2.506967764661827,1.931547355106392,0.29152866666406707,0.5724977931621851
EdgeGAT_full_blend_tk_ka,goldstein_wmean,968792448430653.0,31125430.89550172,2389264.3454402033,126.18852989621459,-0.14914770464647087,7.6523760132365535,2.7662928285408532,2.1443567791761837,0.13737689866483993,0.5212667924905364
EdgeGAT_full_blend_tk_ka,tone_mean,909383677177513.9,30155989.076425828,2231747.842768314,126.7385008467716,-0.07867909887647162,7.819132499214897,2.7962711776962723,2.167124001138106,0.11857907732757511,0.5240398204066716
EdgeGAT_full_blend_tk_ka,active_months,834816637584948.0,28893193.620383125,1843256.0118552744,120.84035798599659,0.009769714415670094,6.661101190900046,2.5809109226976523,1.9799959859578005,0.2491195208308562,0.5565367248041592
EdgeGAT_full_blend_tk_ka,pair_events,2.2129167824905339e+27,47041649444832.76,133714557209.12343,120.89405469401173,-2624884458266.6147,6.410651336482191,2.531926408188475,1.9565267482072575,0.2773517757243914,0.5463088913552927
EdgeGAT_full_blend_tk_ka,pair_score_mean,970229478287230.1,31148506.83880738,1855114.493404095,120.41542589098438,-0.15085225918121048,6.416625882787326,2.533105975435557,1.9513794871610242,0.27667828795354865,0.558761640867128
EdgeGAT_full_blend_tk_ka,pair_score_max,830032686823371.2,28810287.864292007,1942778.1991110519,122.83657187309791,0.015444269420421652,6.847760855660414,2.616822664159804,2.0247852739252408,0.2280780902175077,0.5325715470391854
EdgeGAT_full_blend_tk_ka,pair_gold_mean,830822758249817.1,28823996.22276233,1730325.6643596224,120.02118449002526,0.014507114338672467,6.402455353849968,2.5303073635133675,1.9442481358511876,0.27827567752227333,0.5569339832320179
EdgeGAT_full_blend_tk_ka,dist,4.167647669441037e+25,6455732080439.086,18351453315.10511,119.43935418918966,-49435178409.72643,6.220433365421193,2.4940796630062145,1.9193808193846293,0.29879432060750943,0.570724243425594
