train_end,test_year,model,n,mae,rmse,r2,log_r2
2021,2024,EdgeGAT_full_blend_tk_tk,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2021,2024,RF_first_keepall,2,21520300590.799904,29808444079.082413,-1.0928427097366678,
2021,2025,GAT_first_none,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2021,2025,GAT_first_keepall_attention,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2021,2025,EdgeGAT_full_blend_tk_tk,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2021,2025,RF_first_keepall,2,21945467113.29993,30517612090.552097,-1.0749597946903693,
2022,2024,GAT_first_none,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2022,2024,GAT_first_keepall_attention,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2022,2024,EdgeGAT_full_blend_tk_tk,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2022,2024,RF_first_keepall,2,21520134255.262207,29797242523.45879,-1.09127008895948,
2022,2025,GAT_first_none,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2022,2025,GAT_first_keepall_attention,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2022,2025,EdgeGAT_full_blend_tk_tk,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2022,2025,RF_first_keepall,2,21929006025.152794,30494785370.73394,-1.0718568774800379,
